Store Name,Record ID,Likelyname,retailername,group
THE COUNTRY STORE,543346,THE COUNTRY STORE,THE COUNTRY STORE,15
THE COUNTRY STORE,426361,THE COUNTRY STORE,THE COUNTRY STORE,15
THE LUNCH BOX,599304,THE LUNCH BOX,THE LUNCH BOX,15
THE PANTRY  897,592575,THE PANTRY,THE PANTRY,15
THE PANTRY  898,660884,THE PANTRY,THE PANTRY,15
THE PANTRY  905,668085,THE PANTRY,THE PANTRY,15
THE PANTRY 933,480526,THE PANTRY,THE PANTRY,15
THE SERVICE SPOT,454234,THE SERVICE SPOT,THE SERVICE SPOT,15
TIFFANY ST SEAFOOD & VAR,563651,TIFFANY ST SEAFOOD VAR,TIFFANY ST SEAFOOD VAR,15
TONY'S #2,359072,TONYS,TONYS,15
TONY'S FRIENDLY MART #3,453197,TONYS FRIENDLY MART,TONYS FRIENDLY MART,15
TWINS GROCERY,551805,TWINS GROCERY,TWINS GROCERY,15
VINCENT'S DELI-MART,412133,VINCENTS DELIMART,VINCENTS DELIMART,15
WEST END GROCERY,323559,WEST END GROCERY,WEST END GROCERY,15
WHITE'S GROCERY,428597,WHITES GROCERY,WHITES GROCERY,15
WILKINSON'S GROCERY & PRODUCE,511242,WILKINSONS GROCERY PRODUCE,WILKINSONS GROCERY PRODUCE,15
WILLIAM A HARDY JR GROCERY,699420,WILLIAM A HARDY JR GROCERY,WILLIAM A HARDY JR GROCERY,15
WINN DIXIE  0826,696190,WINN DIXIE,WINN DIXIE,15
WOODINGTON GROCERY,301402,WOODINGTON GROCERY,WOODINGTON GROCERY,15
Z BEST FOOD,593111,Z BEST FOOD,Z BEST FOOD,15
Z-BEST FOOD,508075,ZBEST FOOD,ZBEST FOOD,15
BEACHS GENERAL STORE,504447,BEACHS GENERAL STORE,BEACHS GENERAL STORE,15
BINGHAM GRO & HARDWARE,482724,BINGHAM GRO HARDWARE,BINGHAM GRO HARDWARE,15
BUCK SAVER,646211,BUCK SAVER,BUCK SAVER,15
BUCK SAVER,596114,BUCK SAVER,BUCK SAVER,15
BUCK SAVER #2,681075,BUCK SAVER,BUCK SAVER,15
C B DELLINGER GROCERY,437038,C B DELLINGER GROCERY,C B DELLINGER GROCERY,15
CAROLINA BARGAIN GROCERS,297552,CAROLINA BARGAIN GROCERS,CAROLINA BARGAIN GROCERS,15
